boro,precinct,statistical_murder_flag,vic_age_group,vic_sex,vic_race
the Bronx,44,FALSE,25-44,male,White Hispanic
Manhattan,23,FALSE,25-44,male,Black
Manhattan,23,FALSE,25-44,male,Black
Manhattan,32,TRUE,18-24,male,Black
Brooklyn,73,FALSE,45-64,male,Black
Brooklyn,90,FALSE,25-44,male,Black
Brooklyn,90,TRUE,25-44,male,Black
Brooklyn,90,FALSE,<18,male,Black
Brooklyn,90,TRUE,<18,male,Black
Brooklyn,90,FALSE,<18,male,Black
Brooklyn,81,FALSE,25-44,female,Black Hispanic
Queens,103,FALSE,18-24,male,Black
the Bronx,44,FALSE,18-24,female,Black Hispanic
the Bronx,44,FALSE,25-44,female,Black Hispanic
the Bronx,44,FALSE,25-44,male,Black Hispanic
Brooklyn,75,TRUE,<18,male,Black
Queens,105,TRUE,25-44,male,Black
Manhattan,19,FALSE,25-44,male,Black
the Bronx,50,TRUE,45-64,male,White Hispanic
Brooklyn,79,FALSE,25-44,male,Black
Brooklyn,84,FALSE,25-44,female,Black Hispanic
Brooklyn,84,FALSE,25-44,male,Black
Brooklyn,83,FALSE,25-44,male,Black
Brooklyn,81,TRUE,<18,male,Black
the Bronx,45,FALSE,25-44,male,White
Brooklyn,88,FALSE,18-24,male,White Hispanic
Brooklyn,90,FALSE,18-24,male,Black
Brooklyn,67,FALSE,65+,male,Black
Staten Island,120,TRUE,65+,female,Black
Staten Island,120,TRUE,65+,female,Black
Brooklyn,67,TRUE,25-44,male,Black
the Bronx,44,TRUE,45-64,male,Black
the Bronx,40,FALSE,18-24,male,Black
the Bronx,40,FALSE,18-24,male,White Hispanic
Brooklyn,70,FALSE,18-24,male,Black
the Bronx,47,FALSE,25-44,male,Black
the Bronx,41,FALSE,18-24,male,White Hispanic
the Bronx,44,FALSE,25-44,male,Black
Brooklyn,88,FALSE,25-44,male,Black
the Bronx,44,FALSE,45-64,male,Black
Manhattan,33,FALSE,25-44,male,Black Hispanic
Manhattan,33,FALSE,25-44,male,White Hispanic
Brooklyn,79,FALSE,UNKNOWN,male,Black Hispanic
Manhattan,30,FALSE,45-64,male,Black
Brooklyn,60,FALSE,45-64,male,White Hispanic
Brooklyn,77,FALSE,18-24,male,Black
Brooklyn,81,FALSE,18-24,male,Black
Brooklyn,71,TRUE,25-44,male,Black
Manhattan,32,FALSE,25-44,male,Black
Brooklyn,67,FALSE,18-24,male,Black
Queens,103,FALSE,25-44,female,Black
Brooklyn,79,FALSE,<18,female,Black
Brooklyn,67,FALSE,18-24,male,Black
Brooklyn,79,FALSE,18-24,female,Black
Brooklyn,79,FALSE,18-24,male,Asian / Pacific Islander
Brooklyn,79,FALSE,25-44,male,Black
Queens,105,FALSE,18-24,male,Black
Brooklyn,79,FALSE,18-24,male,Black
Brooklyn,67,FALSE,25-44,male,Black
Brooklyn,67,FALSE,25-44,male,Black
Brooklyn,71,TRUE,25-44,male,Black Hispanic
Brooklyn,73,FALSE,18-24,female,Black
Brooklyn,73,FALSE,18-24,male,Black
Queens,114,FALSE,25-44,male,Black
Queens,113,FALSE,25-44,male,Black
Brooklyn,79,FALSE,25-44,male,Black
Brooklyn,75,FALSE,25-44,male,Black
the Bronx,46,TRUE,25-44,male,White Hispanic
Brooklyn,71,FALSE,18-24,male,Black
Brooklyn,71,FALSE,45-64,female,Black
Brooklyn,83,FALSE,25-44,male,Black
Brooklyn,83,TRUE,25-44,male,Black
Brooklyn,73,FALSE,25-44,male,Black Hispanic
Brooklyn,75,FALSE,18-24,male,Black
Queens,107,FALSE,25-44,male,Black
Brooklyn,75,TRUE,25-44,male,Black
Queens,114,FALSE,25-44,male,Black
Queens,114,FALSE,25-44,male,Black
Brooklyn,88,FALSE,25-44,female,Black
Brooklyn,81,FALSE,18-24,male,Black
Brooklyn,81,TRUE,18-24,male,Black
Brooklyn,81,FALSE,25-44,male,Black
Brooklyn,81,TRUE,25-44,male,Black
the Bronx,41,TRUE,25-44,male,Black Hispanic
Brooklyn,71,FALSE,25-44,male,Black
Queens,107,FALSE,25-44,male,Black
Queens,107,FALSE,25-44,male,Black
Manhattan,5,FALSE,18-24,female,Black
Manhattan,5,FALSE,18-24,male,Black
Brooklyn,71,FALSE,25-44,male,Black
Queens,103,FALSE,18-24,male,White Hispanic
Queens,103,FALSE,25-44,male,White Hispanic
Brooklyn,79,FALSE,18-24,male,White Hispanic
the Bronx,44,FALSE,25-44,male,Black
Brooklyn,75,FALSE,25-44,male,White Hispanic
Brooklyn,67,FALSE,25-44,male,Black
Staten Island,120,FALSE,25-44,male,Black
Brooklyn,79,FALSE,25-44,male,Black
Brooklyn,69,FALSE,25-44,male,Black
Brooklyn,69,FALSE,25-44,male,Black
the Bronx,43,TRUE,25-44,male,Black
the Bronx,43,TRUE,45-64,female,White Hispanic
Queens,105,FALSE,25-44,male,Black
the Bronx,40,FALSE,18-24,male,Black
Brooklyn,75,FALSE,25-44,male,Black
the Bronx,49,TRUE,18-24,male,White Hispanic
the Bronx,49,TRUE,18-24,male,White Hispanic
the Bronx,46,FALSE,18-24,male,White Hispanic
Manhattan,30,FALSE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,Black Hispanic
the Bronx,45,FALSE,25-44,male,Black
Brooklyn,71,FALSE,18-24,male,Black
Brooklyn,71,FALSE,25-44,male,Black
Brooklyn,90,FALSE,25-44,male,Black
Manhattan,6,FALSE,25-44,male,Black
Queens,114,FALSE,18-24,male,Black
Queens,114,FALSE,25-44,male,Black
Brooklyn,83,TRUE,25-44,male,Black
Brooklyn,79,FALSE,18-24,male,Black
Queens,103,FALSE,25-44,male,Black
Brooklyn,73,FALSE,18-24,male,Black
the Bronx,47,FALSE,25-44,male,White Hispanic
Brooklyn,73,FALSE,18-24,male,Black
